2026-01-10 20:17:37.516 | INFO     | main:lifespan:29 - 🚀 Starting AI Server...
2026-01-10 20:17:37.516 | ERROR    | app.services.recommendation_service:collection:59 - ❌ Chưa train! Chạy: python train.py
2026-01-10 20:17:37.516 | WARNING  | main:lifespan:36 - ⚠️ Chưa train! Chạy: python train.py
2026-01-10 20:17:37.517 | INFO     | main:lifespan:39 - 📖 API Docs: http://localhost:8000/docs
2026-01-10 20:18:06.236 | INFO     | main:lifespan:43 - 🛑 Shutting down...
2026-01-10 20:18:11.808 | INFO     | main:lifespan:29 - 🚀 Starting AI Server...
2026-01-10 20:18:12.082 | INFO     | app.services.recommendation_service:collection:69 - ✅ Loaded 200 posts từ ChromaDB
2026-01-10 20:18:12.083 | INFO     | main:lifespan:34 - ✅ Ready! 200 posts indexed
2026-01-10 20:18:12.084 | INFO     | main:lifespan:39 - 📖 API Docs: http://localhost:8000/docs
2026-01-10 20:18:40.241 | INFO     | main:lifespan:43 - 🛑 Shutting down...
2026-01-10 20:19:02.068 | INFO     | main:lifespan:29 - 🚀 Starting AI Server...
2026-01-10 20:19:02.338 | INFO     | app.services.recommendation_service:collection:69 - ✅ Loaded 200 posts từ ChromaDB
2026-01-10 20:19:02.339 | INFO     | main:lifespan:34 - ✅ Ready! 200 posts indexed
2026-01-10 20:19:02.340 | INFO     | main:lifespan:39 - 📖 API Docs: http://localhost:8000/docs
2026-01-10 20:19:11.006 | INFO     | main:lifespan:43 - 🛑 Shutting down...
2026-01-10 20:19:46.764 | INFO     | main:lifespan:29 - 🚀 Starting AI Server...
2026-01-10 20:19:47.052 | INFO     | app.services.recommendation_service:collection:69 - ✅ Loaded 200 posts từ ChromaDB
2026-01-10 20:19:47.053 | INFO     | main:lifespan:34 - ✅ Ready! 200 posts indexed
2026-01-10 20:19:47.053 | INFO     | main:lifespan:39 - 📖 API Docs: http://localhost:8000/docs
2026-01-10 20:19:55.686 | INFO     | main:lifespan:43 - 🛑 Shutting down...
2026-01-10 20:20:09.056 | INFO     | main:lifespan:29 - 🚀 Starting AI Server...
2026-01-10 20:20:09.316 | INFO     | app.services.recommendation_service:collection:69 - ✅ Loaded 200 posts từ ChromaDB
2026-01-10 20:20:09.317 | INFO     | main:lifespan:34 - ✅ Ready! 200 posts indexed
2026-01-10 20:20:09.318 | INFO     | main:lifespan:39 - 📖 API Docs: http://localhost:8000/docs
2026-01-10 20:20:23.197 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:20:23.218 | ERROR    | app.services.recommendation_service:get_user_vector:205 - ❌ get_user_vector error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-01-10 20:20:23.219 | INFO     | app.services.recommendation_service:recommend:331 - 👤 User 69241cbe006d259dc5ee4382: No interactions, using random preference
2026-01-10 20:20:23.235 | ERROR    | app.services.recommendation_service:recommend:404 - Recommend error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-01-10 20:20:58.733 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:20:58.736 | ERROR    | app.services.recommendation_service:get_user_vector:205 - ❌ get_user_vector error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-01-10 20:20:58.736 | INFO     | app.services.recommendation_service:recommend:331 - 👤 User 69241cbe006d259dc5ee4382: No interactions, using random preference
2026-01-10 20:20:58.739 | ERROR    | app.services.recommendation_service:recommend:404 - Recommend error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-01-10 20:21:07.170 | INFO     | app.services.recommendation_service:get_user_vector:160 - 👤 User 69241cbe006d259dc5ee4382: Found 38 interacted posts
2026-01-10 20:21:07.172 | ERROR    | app.services.recommendation_service:get_user_vector:205 - ❌ get_user_vector error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-01-10 20:21:07.172 | INFO     | app.services.recommendation_service:recommend:331 - 👤 User 69241cbe006d259dc5ee4382: No interactions, using random preference
2026-01-10 20:21:07.175 | ERROR    | app.services.recommendation_service:recommend:404 - Recommend error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
